| time | clockIn | half | quarter |  eigth  |
| 0    |    0    |   0  |    0    |    0    |
| 0+   |    1    |   1  |    1    |    1    |
| 1    |    1    |   1  |    1    |    1    |
| 1+   |    0    |   1  |    1    |    1    |
| 2    |    0    |   1  |    1    |    1    |
| 2+   |    1    |   0  |    1    |    1    |
| 3    |    1    |   0  |    1    |    1    |
| 3+   |    0    |   0  |    1    |    1    |
| 4    |    0    |   0  |    1    |    1    |
| 4+   |    1    |   1  |    0    |    1    |
| 5    |    1    |   1  |    0    |    1    |
| 6    |    0    |   1  |    0    |    1    |
| 7    |    1    |   0  |    0    |    1    |
| 8    |    0    |   0  |    0    |    1    |
| 9    |    1    |   1  |    1    |    0    |
| 10   |    0    |   1  |    1    |    0    |
| 11   |    1    |   0  |    1    |    0    |
| 12   |    0    |   0  |    1    |    0    |
| 13   |    1    |   1  |    0    |    0    |
| 14   |    0    |   1  |    0    |    0    |
| 15   |    1    |   0  |    0    |    0    |
| 16   |    0    |   0  |    0    |    0    |
| 17   |    1    |   1  |    1    |    1    |
| 18   |    1    |   1  |    1    |    1    |
| 19   |    0    |   1  |    1    |    1    |
| 20   |    0    |   1  |    1    |    1    |
| 21   |    1    |   0  |    1    |    1    |
| 22   |    1    |   0  |    1    |    1    |
| 23   |    0    |   0  |    1    |    1    |
| 24   |    0    |   0  |    1    |    1    |
| 25   |    1    |   1  |    0    |    1    |
| 26   |    1    |   1  |    0    |    1    |
| 27   |    0    |   1  |    0    |    1    |
| 28   |    0    |   1  |    0    |    1    |
| 29   |    1    |   0  |    0    |    1    |
| 30   |    1    |   0  |    0    |    1    |
| 31   |    0    |   0  |    0    |    1    |
| 32   |    0    |   0  |    0    |    1    |
| 33   |    1    |   1  |    1    |    0    |
| 34   |    1    |   1  |    1    |    0    |
| 35   |    0    |   1  |    1    |    0    |
| 36   |    0    |   1  |    1    |    0    |
| 37   |    1    |   0  |    1    |    0    |
| 38   |    1    |   0  |    1    |    0    |
| 39   |    0    |   0  |    1    |    0    |
| 40   |    0    |   0  |    1    |    0    |
| 41   |    1    |   1  |    0    |    0    |
| 42   |    1    |   1  |    0    |    0    |
| 43   |    0    |   1  |    0    |    0    |
| 44   |    0    |   1  |    0    |    0    |
| 45   |    1    |   0  |    0    |    0    |
| 46   |    1    |   0  |    0    |    0    |
| 47   |    0    |   0  |    0    |    0    |
| 48   |    0    |   0  |    0    |    0    |
| 49   |    1    |   1  |    1    |    1    |
| 50   |    1    |   1  |    1    |    1    |
| 51   |    1    |   1  |    1    |    1    |
| 52   |    0    |   1  |    1    |    1    |
| 53   |    0    |   1  |    1    |    1    |
| 54   |    0    |   1  |    1    |    1    |
| 55   |    1    |   0  |    1    |    1    |
| 56   |    1    |   0  |    1    |    1    |
| 57   |    1    |   0  |    1    |    1    |
| 58   |    0    |   0  |    1    |    1    |
| 59   |    0    |   0  |    1    |    1    |
| 60   |    0    |   0  |    1    |    1    |
| 61   |    1    |   1  |    0    |    1    |
| 62   |    1    |   1  |    0    |    1    |
| 63   |    1    |   1  |    0    |    1    |
| 64   |    0    |   1  |    0    |    1    |
| 65   |    0    |   1  |    0    |    1    |
| 66   |    0    |   1  |    0    |    1    |
| 67   |    1    |   0  |    0    |    1    |
| 68   |    1    |   0  |    0    |    1    |
| 69   |    1    |   0  |    0    |    1    |
| 70   |    0    |   0  |    0    |    1    |
| 71   |    0    |   0  |    0    |    1    |
| 72   |    0    |   0  |    0    |    1    |
| 73   |    1    |   1  |    1    |    0    |
| 74   |    1    |   1  |    1    |    0    |
| 75   |    1    |   1  |    1    |    0    |
| 76   |    0    |   1  |    1    |    0    |
