| time |   clock0   | reset | sda | scl |done |
| 1    |      0     |   1   |  0  |  0  |  0  |
| 2    |      1     |   0   |  0  |  1  |  0  |
| 3    |      0     |   0   |  0  |  1  |  0  |
| 4    |      1     |   0   |  0  |  0  |  0  |
| 5    |      0     |   0   |  0  |  0  |  1  |
| 6    |      1     |   0   |  0  |  1  |  1  |
| 7    |      0     |   0   |  0  |  1  |  1  |
| 8    |      1     |   0   |  0  |  0  |  1  |
| 9    |      0     |   0   |  0  |  0  |  1  |
| 10   |      1     |   0   |  0  |  1  |  1  |
| 11   |      0     |   0   |  0  |  1  |  1  |
| 12   |      1     |   0   |  0  |  0  |  1  |
| 13   |      0     |   0   |  0  |  0  |  1  |
| 14   |      1     |   0   |  0  |  1  |  1  |
| 15   |      0     |   0   |  0  |  1  |  1  |
| 16   |      1     |   0   |  0  |  0  |  1  |
| 17   |      0     |   1   |  0  |  0  |  0  |
| 18   |      1     |   0   |  0  |  1  |  0  |
| 19   |      0     |   0   |  0  |  1  |  0  |
| 20   |      1     |   0   |  0  |  0  |  0  |
| 21   |      0     |   0   |  0  |  0  |  1  |
| 22   |      1     |   0   |  0  |  1  |  1  |
| 23   |      0     |   0   |  0  |  1  |  1  |
| 24   |      1     |   0   |  0  |  0  |  1  |
| 25   |      0     |   0   |  0  |  0  |  1  |
| 26   |      1     |   0   |  0  |  1  |  1  |
| 27   |      0     |   0   |  0  |  1  |  1  |
| 28   |      1     |   0   |  0  |  0  |  1  |
| 29   |      0     |   0   |  0  |  0  |  1  |
| 30   |      1     |   0   |  0  |  1  |  1  |
| 31   |      0     |   0   |  0  |  1  |  1  |
| 32   |      1     |   0   |  0  |  0  |  1  |
