| time | pulseClock | begin | in | sda | scl | ready |
| 1    |      1     |   0   |  0 |  0  |  0  |   1   |
| 2    |      1     |   0   |  0 |  0  |  0  |   1   |
| 3    |      1     |   1   |  0 |  0  |  0  |   0   |
| 4    |      1     |   0   |  0 |  0  |  1  |   0   |
| 5    |      1     |   0   |  0 |  0  |  1  |   0   |
| 6    |      1     |   0   |  0 |  0  |  0  |   0   |
| 7    |      1     |   0   |  0 |  0  |  0  |   1   |
| 8    |      1     |   0   |  0 |  0  |  0  |   1   |
| 9    |      1     |   1   |  1 |  1  |  0  |   0   |
| 10   |      1     |   0   |  0 |  1  |  1  |   0   |
| 11   |      1     |   0   |  0 |  1  |  1  |   0   |
| 12   |      1     |   0   |  0 |  1  |  0  |   0   |
| 13   |      1     |   0   |  0 |  0  |  0  |   1   |
| 14   |      1     |   1   |  0 |  0  |  0  |   0   |
| 15   |      1     |   0   |  0 |  0  |  1  |   0   |
| 16   |      1     |   0   |  0 |  0  |  1  |   0   |
| 17   |      1     |   0   |  0 |  0  |  0  |   0   |
| 18   |      1     |   0   |  0 |  0  |  0  |   1   |
