| time |   clock0   |    in    | sda | scl | done  |clock|clock|clock|clock|clock|
| 1    |      0     | 00000000 |  0  |  0  |   0   |  0  |  0  |  0  |  0  |  0  |
| 2    |      1     | 00000000 |  0  |  1  |   0   |  1  |  0  |  0  |  0  |  0  |
| 3    |      0     | 00000000 |  0  |  1  |   0   |  0  |  1  |  0  |  0  |  0  |
| 4    |      1     | 00000000 |  0  |  0  |   0   |  1  |  1  |  0  |  0  |  0  |
| 5    |      0     | 00000000 |  0  |  0  |   0   |  0  |  0  |  1  |  0  |  0  |
| 6    |      1     | 00000000 |  0  |  1  |   0   |  1  |  0  |  1  |  0  |  0  |
| 7    |      0     | 00000000 |  0  |  1  |   0   |  0  |  1  |  1  |  0  |  0  |
| 8    |      1     | 00000000 |  0  |  0  |   0   |  1  |  1  |  1  |  0  |  0  |
| 9    |      0     | 00000000 |  0  |  0  |   0   |  0  |  0  |  0  |  1  |  0  |
| 10   |      1     | 00000000 |  0  |  1  |   0   |  1  |  0  |  0  |  1  |  0  |
| 11   |      0     | 00000000 |  0  |  1  |   0   |  0  |  1  |  0  |  1  |  0  |
| 12   |      1     | 00000000 |  0  |  0  |   0   |  1  |  1  |  0  |  1  |  0  |
| 13   |      0     | 00000000 |  0  |  0  |   0   |  0  |  0  |  1  |  1  |  0  |
| 14   |      1     | 00000000 |  0  |  1  |   0   |  1  |  0  |  1  |  1  |  0  |
| 15   |      0     | 00000000 |  0  |  1  |   0   |  0  |  1  |  1  |  1  |  0  |
| 16   |      1     | 00000000 |  0  |  0  |   0   |  1  |  1  |  1  |  1  |  0  |
| 17   |      0     | 00000000 |  0  |  0  |   0   |  0  |  0  |  0  |  0  |  1  |
| 18   |      1     | 00000000 |  0  |  1  |   0   |  1  |  0  |  0  |  0  |  1  |
| 19   |      0     | 00000000 |  0  |  1  |   0   |  0  |  1  |  0  |  0  |  1  |
| 20   |      1     | 00000000 |  0  |  0  |   0   |  1  |  1  |  0  |  0  |  1  |
| 21   |      0     | 00000000 |  0  |  0  |   0   |  0  |  0  |  1  |  0  |  1  |
| 22   |      1     | 00000000 |  0  |  1  |   0   |  1  |  0  |  1  |  0  |  1  |
| 23   |      0     | 00000000 |  0  |  1  |   0   |  0  |  1  |  1  |  0  |  1  |
| 24   |      1     | 00000000 |  0  |  0  |   0   |  1  |  1  |  1  |  0  |  1  |
| 25   |      0     | 00000000 |  0  |  0  |   0   |  0  |  0  |  0  |  1  |  1  |
| 26   |      1     | 00000000 |  0  |  1  |   0   |  1  |  0  |  0  |  1  |  1  |
| 27   |      0     | 00000000 |  0  |  1  |   0   |  0  |  1  |  0  |  1  |  1  |
| 28   |      1     | 00000000 |  0  |  0  |   0   |  1  |  1  |  0  |  1  |  1  |
| 29   |      0     | 00000000 |  0  |  0  |   0   |  0  |  0  |  1  |  1  |  1  |
| 30   |      1     | 00000000 |  0  |  1  |   0   |  1  |  0  |  1  |  1  |  1  |
| 31   |      0     | 00000000 |  0  |  1  |   0   |  0  |  1  |  1  |  1  |  1  |
| 32   |      1     | 00000000 |  0  |  0  |   0   |  1  |  1  |  1  |  1  |  1  |
| 33   |      0     | 00000000 |  0  |  0  |   1   |  0  |  0  |  0  |  0  |  0  |
| 34   |      1     | 00000000 |  0  |  1  |   1   |  1  |  0  |  0  |  0  |  0  |
| 35   |      0     | 00000000 |  0  |  1  |   1   |  0  |  1  |  0  |  0  |  0  |
| 36   |      0     | 10000001 |  1  |  0  |   0   |  0  |  0  |  0  |  0  |  0  |
| 37   |      1     | 10000001 |  1  |  1  |   0   |  1  |  0  |  0  |  0  |  0  |
| 38   |      0     | 10000001 |  1  |  1  |   0   |  0  |  1  |  0  |  0  |  0  |
| 39   |      1     | 10000001 |  1  |  0  |   0   |  1  |  1  |  0  |  0  |  0  |
| 40   |      0     | 10000001 |  0  |  0  |   0   |  0  |  0  |  1  |  0  |  0  |
| 41   |      1     | 10000001 |  0  |  1  |   0   |  1  |  0  |  1  |  0  |  0  |
| 42   |      0     | 10000001 |  0  |  1  |   0   |  0  |  1  |  1  |  0  |  0  |
| 43   |      1     | 10000001 |  0  |  0  |   0   |  1  |  1  |  1  |  0  |  0  |
| 44   |      0     | 10000001 |  0  |  0  |   0   |  0  |  0  |  0  |  1  |  0  |
| 45   |      1     | 10000001 |  0  |  1  |   0   |  1  |  0  |  0  |  1  |  0  |
| 46   |      0     | 10000001 |  0  |  1  |   0   |  0  |  1  |  0  |  1  |  0  |
| 47   |      1     | 10000001 |  0  |  0  |   0   |  1  |  1  |  0  |  1  |  0  |
| 48   |      0     | 10000001 |  0  |  0  |   0   |  0  |  0  |  1  |  1  |  0  |
| 49   |      1     | 10000001 |  0  |  1  |   0   |  1  |  0  |  1  |  1  |  0  |
| 50   |      0     | 10000001 |  0  |  1  |   0   |  0  |  1  |  1  |  1  |  0  |
| 51   |      1     | 10000001 |  0  |  0  |   0   |  1  |  1  |  1  |  1  |  0  |
| 52   |      0     | 10000001 |  0  |  0  |   0   |  0  |  0  |  0  |  0  |  1  |
| 53   |      1     | 10000001 |  0  |  1  |   0   |  1  |  0  |  0  |  0  |  1  |
| 54   |      0     | 10000001 |  0  |  1  |   0   |  0  |  1  |  0  |  0  |  1  |
| 55   |      1     | 10000001 |  0  |  0  |   0   |  1  |  1  |  0  |  0  |  1  |
| 56   |      0     | 10000001 |  0  |  0  |   0   |  0  |  0  |  1  |  0  |  1  |
| 57   |      1     | 10000001 |  0  |  1  |   0   |  1  |  0  |  1  |  0  |  1  |
| 58   |      0     | 10000001 |  0  |  1  |   0   |  0  |  1  |  1  |  0  |  1  |
| 59   |      1     | 10000001 |  0  |  0  |   0   |  1  |  1  |  1  |  0  |  1  |
| 60   |      0     | 10000001 |  0  |  0  |   0   |  0  |  0  |  0  |  1  |  1  |
| 61   |      1     | 10000001 |  0  |  1  |   0   |  1  |  0  |  0  |  1  |  1  |
| 62   |      0     | 10000001 |  0  |  1  |   0   |  0  |  1  |  0  |  1  |  1  |
| 63   |      1     | 10000001 |  0  |  0  |   0   |  1  |  1  |  0  |  1  |  1  |
| 64   |      0     | 10000001 |  1  |  0  |   0   |  0  |  0  |  1  |  1  |  1  |
| 65   |      1     | 10000001 |  1  |  1  |   0   |  1  |  0  |  1  |  1  |  1  |
| 66   |      0     | 10000001 |  1  |  1  |   0   |  0  |  1  |  1  |  1  |  1  |
| 67   |      1     | 10000001 |  1  |  0  |   0   |  1  |  1  |  1  |  1  |  1  |
| 68   |      0     | 01010101 |  0  |  0  |   0   |  0  |  0  |  0  |  0  |  0  |
| 69   |      1     | 01010101 |  0  |  1  |   0   |  1  |  0  |  0  |  0  |  0  |
| 70   |      0     | 01010101 |  0  |  1  |   0   |  0  |  1  |  0  |  0  |  0  |
| 71   |      1     | 01010101 |  0  |  0  |   0   |  1  |  1  |  0  |  0  |  0  |
| 72   |      0     | 01010101 |  1  |  0  |   0   |  0  |  0  |  1  |  0  |  0  |
| 73   |      1     | 01010101 |  1  |  1  |   0   |  1  |  0  |  1  |  0  |  0  |
| 74   |      0     | 01010101 |  1  |  1  |   0   |  0  |  1  |  1  |  0  |  0  |
| 75   |      1     | 01010101 |  1  |  0  |   0   |  1  |  1  |  1  |  0  |  0  |
| 76   |      0     | 01010101 |  0  |  0  |   0   |  0  |  0  |  0  |  1  |  0  |
| 77   |      1     | 01010101 |  0  |  1  |   0   |  1  |  0  |  0  |  1  |  0  |
| 78   |      0     | 01010101 |  0  |  1  |   0   |  0  |  1  |  0  |  1  |  0  |
| 79   |      1     | 01010101 |  0  |  0  |   0   |  1  |  1  |  0  |  1  |  0  |
| 80   |      0     | 01010101 |  1  |  0  |   0   |  0  |  0  |  1  |  1  |  0  |
| 81   |      1     | 01010101 |  1  |  1  |   0   |  1  |  0  |  1  |  1  |  0  |
| 82   |      0     | 01010101 |  1  |  1  |   0   |  0  |  1  |  1  |  1  |  0  |
| 83   |      1     | 01010101 |  1  |  0  |   0   |  1  |  1  |  1  |  1  |  0  |
| 84   |      0     | 01010101 |  0  |  0  |   0   |  0  |  0  |  0  |  0  |  1  |
| 85   |      1     | 01010101 |  0  |  1  |   0   |  1  |  0  |  0  |  0  |  1  |
| 86   |      0     | 01010101 |  0  |  1  |   0   |  0  |  1  |  0  |  0  |  1  |
| 87   |      1     | 01010101 |  0  |  0  |   0   |  1  |  1  |  0  |  0  |  1  |
| 88   |      0     | 01010101 |  1  |  0  |   0   |  0  |  0  |  1  |  0  |  1  |
| 89   |      1     | 01010101 |  1  |  1  |   0   |  1  |  0  |  1  |  0  |  1  |
| 90   |      0     | 01010101 |  1  |  1  |   0   |  0  |  1  |  1  |  0  |  1  |
| 91   |      1     | 01010101 |  1  |  0  |   0   |  1  |  1  |  1  |  0  |  1  |
| 92   |      0     | 01010101 |  0  |  0  |   0   |  0  |  0  |  0  |  1  |  1  |
| 93   |      1     | 01010101 |  0  |  1  |   0   |  1  |  0  |  0  |  1  |  1  |
| 94   |      0     | 01010101 |  0  |  1  |   0   |  0  |  1  |  0  |  1  |  1  |
| 95   |      1     | 01010101 |  0  |  0  |   0   |  1  |  1  |  0  |  1  |  1  |
| 96   |      0     | 01010101 |  1  |  0  |   0   |  0  |  0  |  1  |  1  |  1  |
