| time | reset | inc |   addr   |jump |       out        |
| 1    |   1   |  0  |       0  |  0  | 0000000000000001 |
| 2    |   0   |  1  |       0  |  0  | 0000000000000010 |
| 3    |   0   |  1  |       0  |  0  | 0000000000000100 |
| 4    |   0   |  1  |       0  |  0  | 0000000000001000 |
| 5    |   0   |  1  |       0  |  0  | 0000000000010000 |
| 6    |   0   |  1  |       0  |  0  | 0000000000100000 |
| 7    |   0   |  1  |       0  |  0  | 0000000001000000 |
| 8    |   0   |  1  |       0  |  0  | 0000000010000000 |
| 9    |   0   |  1  |       0  |  0  | 0000000100000000 |
| 10   |   0   |  1  |       0  |  0  | 0000001000000000 |
| 11   |   0   |  1  |       0  |  0  | 0000010000000000 |
| 12   |   0   |  1  |       0  |  0  | 0000100000000000 |
| 13   |   0   |  1  |       0  |  0  | 0001000000000000 |
| 14   |   0   |  1  |       0  |  0  | 0010000000000000 |
| 15   |   0   |  1  |       0  |  0  | 0100000000000000 |
| 16   |   0   |  1  |       0  |  0  | 1000000000000000 |
| 17   |   1   |  1  |       0  |  0  | 0000000000000001 |
| 18   |   0   |  1  |       0  |  0  | 0000000000000010 |
| 19   |   0   |  1  |       0  |  0  | 0000000000000100 |
| 20   |   0   |  1  |       0  |  0  | 0000000000001000 |
| 21   |   0   |  1  |       0  |  0  | 0000000000010000 |
| 22   |   0   |  1  |       0  |  0  | 0000000000100000 |
| 23   |   1   |  1  |       0  |  0  | 0000000000000001 |
| 24   |   0   |  1  |       0  |  0  | 0000000000000010 |
| 25   |   0   |  1  |       0  |  0  | 0000000000000100 |
| 26   |   1   |  1  |       0  |  0  | 0000000000000001 |
| 27   |   1   |  1  |       0  |  0  | 0000000000000001 |
| 28   |   1   |  1  |       0  |  0  | 0000000000000001 |
| 29   |   0   |  1  |       0  |  0  | 0000000000000010 |
| 30   |   0   |  0  |       0  |  0  | 0000000000000010 |
| 31   |   0   |  1  |       0  |  0  | 0000000000000100 |
| 32   |   0   |  0  |       0  |  0  | 0000000000000100 |
| 33   |   0   |  1  |       0  |  0  | 0000000000001000 |
| 34   |   0   |  0  |       0  |  0  | 0000000000001000 |
| 35   |   0   |  1  |       0  |  0  | 0000000000010000 |
| 36   |   0   |  0  |       0  |  0  | 0000000000010000 |
| 37   |   0   |  0  |       2  |  1  | 0000000000000010 |
| 38   |   0   |  1  |       2  |  0  | 0000000000000100 |
| 39   |   0   |  1  |       2  |  0  | 0000000000001000 |
| 40   |   0   |  1  |       2  |  0  | 0000000000010000 |
| 41   |   0   |  1  |       2  |  0  | 0000000000100000 |
| 42   |   0   |  1  |       2  |  0  | 0000000001000000 |
| 43   |   0   |  1  |    1024  |  1  | 0000010000000000 |
| 44   |   0   |  1  |    1024  |  0  | 0000100000000000 |
| 45   |   0   |  1  |    1024  |  0  | 0001000000000000 |
| 46   |   0   |  1  |    1024  |  0  | 0010000000000000 |
| 47   |   0   |  1  |    1024  |  0  | 0100000000000000 |
| 48   |   0   |  1  |    1024  |  0  | 1000000000000000 |
| 49   |   1   |  1  |  -32768  |  1  | 1000000000000000 |
| 50   |   1   |  1  |   16384  |  1  | 0100000000000000 |
| 51   |   1   |  1  |    8192  |  1  | 0010000000000000 |
| 52   |   1   |  1  |    4096  |  1  | 0001000000000000 |
| 53   |   1   |  1  |    4096  |  0  | 0000000000000001 |
| 54   |   0   |  1  |    4096  |  0  | 0000000000000010 |
| 55   |   0   |  0  |    4096  |  0  | 0000000000000010 |
