|   time   | reset | clock0  |startClock |anyByteCloc|stateRegister| byte |byte0State |byte1State | byteDone  |byteDoneSig| beginAck  |anyAckState|  ackDone  |ackDoneSign|  sdaByte  |  sclByte  | sdaAck  | sclAck  |
| 1        |   1   |    0    |     0     |     0     |   0000001   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2        |   0   |    0    |     0     |     0     |   0000010   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 63       |   0   |    0    |     0     |     0     |   0000010   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 64       |   0   |    1    |     1     |     0     |   0000010   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 126      |   0   |    1    |     1     |     0     |   0000010   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 127      |   0   |    0    |     0     |     0     |   0000010   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 189      |   0   |    0    |     0     |     0     |   0000010   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 190      |   0   |    1    |     1     |     0     |   0000010   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 252      |   0   |    1    |     1     |     0     |   0000010   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 253      |   0   |    0    |     0     |     0     |   0000010   |  00  |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 254      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 315      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 316      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 378      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 379      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 441      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 442      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 504      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 505      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 567      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 568      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 630      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 631      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 693      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 694      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 756      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 757      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 819      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 820      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 882      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 883      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 945      |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 946      |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1008     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1009     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1071     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
