| time | clockIn |half | quarter |
| 0    |    0    |  0  |    0    |
| 0+   |    1    |  1  |    1    |
| 1    |    1    |  1  |    1    |
| 1+   |    0    |  1  |    1    |
| 2    |    0    |  1  |    1    |
| 2+   |    1    |  0  |    1    |
| 3    |    1    |  0  |    1    |
| 3+   |    0    |  0  |    1    |
| 4    |    0    |  0  |    1    |
| 4+   |    1    |  1  |    0    |
| 5    |    1    |  1  |    0    |
| 6    |    0    |  1  |    0    |
| 7    |    1    |  0  |    0    |
| 8    |    0    |  0  |    0    |
| 9    |    1    |  1  |    1    |
| 10   |    0    |  1  |    1    |
| 11   |    1    |  0  |    1    |
| 12   |    0    |  0  |    1    |
| 13   |    1    |  1  |    0    |
| 14   |    0    |  1  |    0    |
| 15   |    1    |  0  |    0    |
| 16   |    0    |  0  |    0    |
| 17   |    1    |  1  |    1    |
| 18   |    1    |  1  |    1    |
| 19   |    0    |  1  |    1    |
| 20   |    0    |  1  |    1    |
| 21   |    1    |  0  |    1    |
| 22   |    1    |  0  |    1    |
| 23   |    0    |  0  |    1    |
| 24   |    0    |  0  |    1    |
| 25   |    1    |  1  |    0    |
| 26   |    1    |  1  |    0    |
| 27   |    0    |  1  |    0    |
| 28   |    0    |  1  |    0    |
| 29   |    1    |  0  |    0    |
| 30   |    1    |  0  |    0    |
| 31   |    0    |  0  |    0    |
| 32   |    0    |  0  |    0    |
| 33   |    1    |  1  |    1    |
| 34   |    1    |  1  |    1    |
| 35   |    0    |  1  |    1    |
| 36   |    0    |  1  |    1    |
| 37   |    1    |  0  |    1    |
| 38   |    1    |  0  |    1    |
| 39   |    0    |  0  |    1    |
| 40   |    0    |  0  |    1    |
| 41   |    1    |  1  |    0    |
| 42   |    1    |  1  |    0    |
| 43   |    0    |  1  |    0    |
| 44   |    0    |  1  |    0    |
| 45   |    1    |  0  |    0    |
| 46   |    1    |  0  |    0    |
| 47   |    0    |  0  |    0    |
| 48   |    0    |  0  |    0    |
| 49   |    1    |  1  |    1    |
| 50   |    1    |  1  |    1    |
| 51   |    1    |  1  |    1    |
| 52   |    0    |  1  |    1    |
| 53   |    0    |  1  |    1    |
| 54   |    0    |  1  |    1    |
| 55   |    1    |  0  |    1    |
| 56   |    1    |  0  |    1    |
| 57   |    1    |  0  |    1    |
| 58   |    0    |  0  |    1    |
| 59   |    0    |  0  |    1    |
| 60   |    0    |  0  |    1    |
| 61   |    1    |  1  |    0    |
| 62   |    1    |  1  |    0    |
| 63   |    1    |  1  |    0    |
| 64   |    0    |  1  |    0    |
| 65   |    0    |  1  |    0    |
| 66   |    0    |  1  |    0    |
| 67   |    1    |  0  |    0    |
| 68   |    1    |  0  |    0    |
| 69   |    1    |  0  |    0    |
| 70   |    0    |  0  |    0    |
| 71   |    0    |  0  |    0    |
| 72   |    0    |  0  |    0    |
| 73   |    1    |  1  |    1    |
| 74   |    1    |  1  |    1    |
| 75   |    1    |  1  |    1    |
| 76   |    0    |  1  |    1    |
| 77   |    0    |  1  |    1    |
| 78   |    0    |  1  |    1    |
| 79   |    1    |  0  |    1    |
| 80   |    1    |  0  |    1    |
| 81   |    1    |  0  |    1    |
| 82   |    0    |  0  |    1    |
| 83   |    0    |  0  |    1    |
| 84   |    0    |  0  |    1    |
| 85   |    1    |  1  |    0    |
| 86   |    1    |  1  |    0    |
| 87   |    1    |  1  |    0    |
| 88   |    0    |  1  |    0    |
| 89   |    0    |  1  |    0    |
| 90   |    0    |  1  |    0    |
| 91   |    1    |  0  |    0    |
| 92   |    1    |  0  |    0    |
| 93   |    1    |  0  |    0    |
| 94   |    0    |  0  |    0    |
| 95   |    0    |  0  |    0    |
| 96   |    0    |  0  |    0    |
| 97   |    1    |  1  |    1    |
| 98   |    1    |  1  |    1    |
| 99   |    1    |  1  |    1    |
| 100  |    1    |  1  |    1    |
| 101  |    0    |  1  |    1    |
| 102  |    0    |  1  |    1    |
| 103  |    0    |  1  |    1    |
| 104  |    0    |  1  |    1    |
| 105  |    1    |  0  |    1    |
| 106  |    1    |  0  |    1    |
| 107  |    1    |  0  |    1    |
| 108  |    1    |  0  |    1    |
| 109  |    0    |  0  |    1    |
| 110  |    0    |  0  |    1    |
| 111  |    0    |  0  |    1    |
| 112  |    0    |  0  |    1    |
| 113  |    1    |  1  |    0    |
| 114  |    1    |  1  |    0    |
| 115  |    1    |  1  |    0    |
| 116  |    1    |  1  |    0    |
| 117  |    0    |  1  |    0    |
| 118  |    0    |  1  |    0    |
| 119  |    0    |  1  |    0    |
| 120  |    0    |  1  |    0    |
| 121  |    1    |  0  |    0    |
| 122  |    1    |  0  |    0    |
| 123  |    1    |  0  |    0    |
| 124  |    1    |  0  |    0    |
| 125  |    0    |  0  |    0    |
| 126  |    0    |  0  |    0    |
| 127  |    0    |  0  |    0    |
| 128  |    0    |  0  |    0    |
| 129  |    1    |  1  |    1    |
| 130  |    1    |  1  |    1    |
| 131  |    1    |  1  |    1    |
| 132  |    1    |  1  |    1    |
| 133  |    0    |  1  |    1    |
| 134  |    0    |  1  |    1    |
| 135  |    0    |  1  |    1    |
| 136  |    0    |  1  |    1    |
| 137  |    1    |  0  |    1    |
| 138  |    1    |  0  |    1    |
| 139  |    1    |  0  |    1    |
| 140  |    1    |  0  |    1    |
| 141  |    0    |  0  |    1    |
| 142  |    0    |  0  |    1    |
| 143  |    0    |  0  |    1    |
| 144  |    0    |  0  |    1    |
| 145  |    1    |  1  |    0    |
| 146  |    1    |  1  |    0    |
| 147  |    1    |  1  |    0    |
| 148  |    1    |  1  |    0    |
| 149  |    0    |  1  |    0    |
| 150  |    0    |  1  |    0    |
| 151  |    0    |  1  |    0    |
| 152  |    0    |  1  |    0    |
| 153  |    1    |  0  |    0    |
| 154  |    1    |  0  |    0    |
| 155  |    1    |  0  |    0    |
