| time | clockIn | half | quarter |  eigth  | sixteenth |
| 0    |    0    |   0  |    0    |    0    |     0     |
| 1    |    1    |   1  |    1    |    1    |     1     |
| 2    |    0    |   1  |    1    |    1    |     1     |
| 3    |    1    |   0  |    1    |    1    |     1     |
| 4    |    0    |   0  |    1    |    1    |     1     |
| 5    |    1    |   1  |    0    |    1    |     1     |
| 6    |    0    |   1  |    0    |    1    |     1     |
| 7    |    1    |   0  |    0    |    1    |     1     |
| 8    |    0    |   0  |    0    |    1    |     1     |
| 9    |    1    |   1  |    1    |    0    |     1     |
| 10   |    0    |   1  |    1    |    0    |     1     |
| 11   |    1    |   0  |    1    |    0    |     1     |
| 12   |    0    |   0  |    1    |    0    |     1     |
| 13   |    1    |   1  |    0    |    0    |     1     |
| 14   |    0    |   1  |    0    |    0    |     1     |
| 15   |    1    |   0  |    0    |    0    |     1     |
| 16   |    0    |   0  |    0    |    0    |     1     |
| 17   |    1    |   1  |    1    |    1    |     0     |
| 18   |    0    |   1  |    1    |    1    |     0     |
| 19   |    1    |   0  |    1    |    1    |     0     |
| 20   |    0    |   0  |    1    |    1    |     0     |
| 21   |    1    |   1  |    0    |    1    |     0     |
| 22   |    0    |   1  |    0    |    1    |     0     |
| 23   |    1    |   0  |    0    |    1    |     0     |
| 24   |    0    |   0  |    0    |    1    |     0     |
| 25   |    1    |   1  |    1    |    0    |     0     |
| 26   |    0    |   1  |    1    |    0    |     0     |
| 27   |    1    |   0  |    1    |    0    |     0     |
| 28   |    0    |   0  |    1    |    0    |     0     |
| 29   |    1    |   1  |    0    |    0    |     0     |
| 30   |    0    |   1  |    0    |    0    |     0     |
| 31   |    1    |   0  |    0    |    0    |     0     |
| 32   |    0    |   0  |    0    |    0    |     0     |
| 33   |    1    |   1  |    1    |    1    |     1     |
| 34   |    1    |   1  |    1    |    1    |     1     |
| 35   |    0    |   1  |    1    |    1    |     1     |
| 36   |    0    |   1  |    1    |    1    |     1     |
| 37   |    1    |   0  |    1    |    1    |     1     |
| 38   |    1    |   0  |    1    |    1    |     1     |
| 39   |    0    |   0  |    1    |    1    |     1     |
| 40   |    0    |   0  |    1    |    1    |     1     |
| 41   |    1    |   1  |    0    |    1    |     1     |
| 42   |    1    |   1  |    0    |    1    |     1     |
| 43   |    0    |   1  |    0    |    1    |     1     |
| 44   |    0    |   1  |    0    |    1    |     1     |
| 45   |    1    |   0  |    0    |    1    |     1     |
| 46   |    1    |   0  |    0    |    1    |     1     |
| 47   |    0    |   0  |    0    |    1    |     1     |
| 48   |    0    |   0  |    0    |    1    |     1     |
| 49   |    1    |   1  |    1    |    0    |     1     |
| 50   |    1    |   1  |    1    |    0    |     1     |
| 51   |    0    |   1  |    1    |    0    |     1     |
| 52   |    0    |   1  |    1    |    0    |     1     |
| 53   |    1    |   0  |    1    |    0    |     1     |
| 54   |    1    |   0  |    1    |    0    |     1     |
| 55   |    0    |   0  |    1    |    0    |     1     |
| 56   |    0    |   0  |    1    |    0    |     1     |
| 57   |    1    |   1  |    0    |    0    |     1     |
| 58   |    1    |   1  |    0    |    0    |     1     |
| 59   |    0    |   1  |    0    |    0    |     1     |
| 60   |    0    |   1  |    0    |    0    |     1     |
| 61   |    1    |   0  |    0    |    0    |     1     |
| 62   |    1    |   0  |    0    |    0    |     1     |
| 63   |    0    |   0  |    0    |    0    |     1     |
| 64   |    0    |   0  |    0    |    0    |     1     |
| 65   |    1    |   1  |    1    |    1    |     0     |
| 66   |    1    |   1  |    1    |    1    |     0     |
| 67   |    0    |   1  |    1    |    1    |     0     |
| 68   |    0    |   1  |    1    |    1    |     0     |
| 69   |    1    |   0  |    1    |    1    |     0     |
| 70   |    1    |   0  |    1    |    1    |     0     |
| 71   |    0    |   0  |    1    |    1    |     0     |
| 72   |    0    |   0  |    1    |    1    |     0     |
| 73   |    1    |   1  |    0    |    1    |     0     |
| 74   |    1    |   1  |    0    |    1    |     0     |
| 75   |    0    |   1  |    0    |    1    |     0     |
| 76   |    0    |   1  |    0    |    1    |     0     |
| 77   |    1    |   0  |    0    |    1    |     0     |
| 78   |    1    |   0  |    0    |    1    |     0     |
| 79   |    0    |   0  |    0    |    1    |     0     |
| 80   |    0    |   0  |    0    |    1    |     0     |
| 81   |    1    |   1  |    1    |    0    |     0     |
| 82   |    1    |   1  |    1    |    0    |     0     |
| 83   |    0    |   1  |    1    |    0    |     0     |
| 84   |    0    |   1  |    1    |    0    |     0     |
| 85   |    1    |   0  |    1    |    0    |     0     |
| 86   |    1    |   0  |    1    |    0    |     0     |
| 87   |    0    |   0  |    1    |    0    |     0     |
| 88   |    0    |   0  |    1    |    0    |     0     |
| 89   |    1    |   1  |    0    |    0    |     0     |
| 90   |    1    |   1  |    0    |    0    |     0     |
| 91   |    0    |   1  |    0    |    0    |     0     |
| 92   |    0    |   1  |    0    |    0    |     0     |
| 93   |    1    |   0  |    0    |    0    |     0     |
| 94   |    1    |   0  |    0    |    0    |     0     |
| 95   |    0    |   0  |    0    |    0    |     0     |
| 96   |    0    |   0  |    0    |    0    |     0     |
| 97   |    1    |   1  |    1    |    1    |     1     |
| 98   |    1    |   1  |    1    |    1    |     1     |
| 99   |    1    |   1  |    1    |    1    |     1     |
| 100  |    0    |   1  |    1    |    1    |     1     |
| 101  |    0    |   1  |    1    |    1    |     1     |
| 102  |    0    |   1  |    1    |    1    |     1     |
| 103  |    1    |   0  |    1    |    1    |     1     |
| 104  |    1    |   0  |    1    |    1    |     1     |
| 105  |    1    |   0  |    1    |    1    |     1     |
| 106  |    0    |   0  |    1    |    1    |     1     |
| 107  |    0    |   0  |    1    |    1    |     1     |
| 108  |    0    |   0  |    1    |    1    |     1     |
| 109  |    1    |   1  |    0    |    1    |     1     |
| 110  |    1    |   1  |    0    |    1    |     1     |
| 111  |    1    |   1  |    0    |    1    |     1     |
| 112  |    0    |   1  |    0    |    1    |     1     |
| 113  |    0    |   1  |    0    |    1    |     1     |
| 114  |    0    |   1  |    0    |    1    |     1     |
| 115  |    1    |   0  |    0    |    1    |     1     |
| 116  |    1    |   0  |    0    |    1    |     1     |
| 117  |    1    |   0  |    0    |    1    |     1     |
| 118  |    0    |   0  |    0    |    1    |     1     |
| 119  |    0    |   0  |    0    |    1    |     1     |
| 120  |    0    |   0  |    0    |    1    |     1     |
| 121  |    1    |   1  |    1    |    0    |     1     |
| 122  |    1    |   1  |    1    |    0    |     1     |
| 123  |    1    |   1  |    1    |    0    |     1     |
| 124  |    0    |   1  |    1    |    0    |     1     |
| 125  |    0    |   1  |    1    |    0    |     1     |
| 126  |    0    |   1  |    1    |    0    |     1     |
| 127  |    1    |   0  |    1    |    0    |     1     |
| 128  |    1    |   0  |    1    |    0    |     1     |
| 129  |    1    |   0  |    1    |    0    |     1     |
| 130  |    0    |   0  |    1    |    0    |     1     |
| 131  |    0    |   0  |    1    |    0    |     1     |
| 132  |    0    |   0  |    1    |    0    |     1     |
| 133  |    1    |   1  |    0    |    0    |     1     |
| 134  |    1    |   1  |    0    |    0    |     1     |
| 135  |    1    |   1  |    0    |    0    |     1     |
| 136  |    0    |   1  |    0    |    0    |     1     |
| 137  |    0    |   1  |    0    |    0    |     1     |
| 138  |    0    |   1  |    0    |    0    |     1     |
| 139  |    1    |   0  |    0    |    0    |     1     |
